MapDate,AreaOfInterest,None,D4,Year
20201229,CONUS,33.59,9.89,2020
20201222,CONUS,32.98,9.89,2020
20201215,CONUS,33.03,9.89,2020
20201208,CONUS,32.6,9.9,2020
20201201,CONUS,33.15,9.87,2020
20201124,CONUS,32.59,8.52,2020
20201117,CONUS,35.37,5.65,2020
20201110,CONUS,35.55,4.06,2020
20201103,CONUS,37.63,2.85,2020
20201027,CONUS,35.58,2.82,2020
20201020,CONUS,34.04,2.82,2020
20201013,CONUS,35.18,2.07,2020
20201006,CONUS,37.12,2.07,2020
20200929,CONUS,38.05,1.2,2020
20200922,CONUS,41.48,0.58,2020
20200915,CONUS,42.48,0.43,2020
20200908,CONUS,42.92,0.16,2020
20200901,CONUS,42.54,0.1,2020
20200825,CONUS,42.38,0.08,2020
20200818,CONUS,45.99,0.03,2020
20200811,CONUS,47.09,0,2020
20200804,CONUS,45.99,0,2020
20200728,CONUS,43.97,0,2020
20200721,CONUS,44.37,0,2020
20200714,CONUS,48.6,0,2020
20200707,CONUS,51.49,0,2020
20200630,CONUS,54.58,0.08,2020
20200623,CONUS,55.26,0,2020
20200616,CONUS,56.26,0,2020
20200609,CONUS,61.38,0,2020
20200602,CONUS,64.11,0,2020
20200526,CONUS,65.65,0,2020
20200519,CONUS,64.46,0,2020
20200512,CONUS,65.69,0,2020
20200505,CONUS,69.22,0,2020
20200428,CONUS,71.3,0,2020
20200421,CONUS,73.08,0,2020
20200414,CONUS,74.42,0.01,2020
20200407,CONUS,74.48,0.01,2020
20200331,CONUS,74.79,0.03,2020
20200324,CONUS,74.94,0.03,2020
20200317,CONUS,75.09,0.03,2020
20200310,CONUS,75.71,0,2020
20200303,CONUS,76.21,0,2020
20200225,CONUS,76.98,0,2020
20200218,CONUS,76.49,0,2020
20200211,CONUS,75.85,0,2020
20200204,CONUS,74.3,0,2020
20200128,CONUS,73.32,0,2020
20200121,CONUS,75.13,0,2020
20200114,CONUS,76.7,0,2020
20200107,CONUS,75.94,0,2020
20191231,CONUS,75.8,0,2019
