StormName,li,Year,Basin
Alberto (Atlantic),,1994,Atlantic
Beryl (Atlantic),,1994,Atlantic
Chris (Atlantic),,1994,Atlantic
Debby (Atlantic),,1994,Atlantic
Ernesto (Atlantic),,1994,Atlantic
Florence (Atlantic),,1994,Atlantic
Gordon (Atlantic),,1994,Atlantic
Tropical Depression Two (Atlantic),,1994,Atlantic
Tropical Depression Five (Atlantic),,1994,Atlantic
Tropical Depression Eight (Atlantic),,1994,Atlantic
Tropical Depression Nine (Atlantic),,1994,Atlantic
Tropical Depression Ten (Atlantic),,1994,Atlantic
Arlene (Atlantic),,1993,Atlantic
Bret (Atlantic),,1993,Atlantic
Cindy (Atlantic),,1993,Atlantic
Dennis (Atlantic),,1993,Atlantic
Emily (Atlantic),,1993,Atlantic
Floyd (Atlantic),,1993,Atlantic
Gert (Atlantic),,1993,Atlantic
Harvey (Atlantic),,1993,Atlantic
Tropical Depression One (Atlantic),,1993,Atlantic
Tropical Depression Ten (Atlantic),,1993,Atlantic
Andrew (Atlantic),,1992,Atlantic
Bonnie (Atlantic),,1992,Atlantic
Charley (Atlantic),,1992,Atlantic
Danielle (Atlantic),,1992,Atlantic
Earl (Atlantic),,1992,Atlantic
Frances (Atlantic),,1992,Atlantic
Tropical Depression One (Atlantic),,1992,Atlantic
Tropical Depression Two (Atlantic),,1992,Atlantic
Tropical Depression Seven (Atlantic),,1992,Atlantic
Subtropical Storm (Atlantic),,1992,Atlantic
Ana (Atlantic),,1991,Atlantic
Bob (Atlantic),,1991,Atlantic
Claudette (Atlantic),,1991,Atlantic
Danny (Atlantic),,1991,Atlantic
Erika (Atlantic),,1991,Atlantic
Fabian (Atlantic),,1991,Atlantic
Grace (Atlantic),,1991,Atlantic
Tropical Depression Four (Atlantic),,1991,Atlantic
Tropical Depression Ten (Atlantic),,1991,Atlantic
Unnamed (Atlantic),,1991,Atlantic
Arthur (Atlantic),,1990,Atlantic
Bertha (Atlantic),,1990,Atlantic
Cesar (Atlantic),,1990,Atlantic
Diana (Atlantic),,1990,Atlantic
Edouard (Atlantic),,1990,Atlantic
Fran (Atlantic),,1990,Atlantic
Gustav (Atlantic),,1990,Atlantic
Hortense (Atlantic),,1990,Atlantic
Isidore (Atlantic),,1990,Atlantic
Josephine (Atlantic),,1990,Atlantic
Klaus (Atlantic),,1990,Atlantic
Lili (Atlantic),,1990,Atlantic
Marco (Atlantic),,1990,Atlantic
Nana (Atlantic),,1990,Atlantic
Allison (Atlantic),,1989,Atlantic
Barry (Atlantic),,1989,Atlantic
Chantal (Atlantic),,1989,Atlantic
Dean (Atlantic),,1989,Atlantic
Erin (Atlantic),,1989,Atlantic
Felix (Atlantic),,1989,Atlantic
Gabrielle (Atlantic),,1989,Atlantic
Hugo (Atlantic),,1989,Atlantic
Iris (Atlantic),,1989,Atlantic
Jerry (Atlantic),,1989,Atlantic
Karen (Atlantic),,1989,Atlantic
Alberto (Atlantic),,1988,Atlantic
Beryl (Atlantic),,1988,Atlantic
Chris (Atlantic),,1988,Atlantic
Debby (Atlantic),,1988,Atlantic
Ernesto (Atlantic),,1988,Atlantic
Florence (Atlantic),,1988,Atlantic
Gilbert (Atlantic),,1988,Atlantic
Helene (Atlantic),,1988,Atlantic
Joan (Atlantic),,1988,Atlantic
Isaac (Atlantic),,1988,Atlantic
Keith (Atlantic),,1988,Atlantic
Unnamed (Atlantic),,1988,Atlantic
Arlene (Atlantic),,1987,Atlantic
Bret (Atlantic),,1987,Atlantic
Cindy (Atlantic),,1987,Atlantic
Dennis (Atlantic),,1987,Atlantic
